OBJECTID,SQUARE,SUFFIX,RES,PAR,LOT,CONDO_REGIME,SSL,DESCRIPTION,CAPTUREYEAR,CAPTUREACTION,AREA_NEW,CENTROIDX,CENTROIDY,MINLAT,MAXLAT,MINLONG,MAXLONG,NSSL,UBID,NUBID,LINK_TYPE,LINK_TYPE_DESCRIPTION,GIS_ID,SE_ANNO_CAD_DATA,CREATOR,CREATED,EDITOR,EDITED,WARD,GLOBALID,SHAPE_Length,SHAPE_Area
486467,PAR,0160, ,0160,0035, ,PAR 01600035,Building,2015/04/24 00:00:00+00,E,1241.02349532,-76.97253635,38.89920193,38.89906768,38.89933994,-76.97258414,-76.97248872,22,87C5V2XG+MXP-5-2-6-1,1,3,One Building Many Lots,UBIDPly_26490,,,,,,5,{36949EE6-BC5E-4704-E063-792F520AC09B},57.1663438867604,190.627311862636
486468,0375, , , ,0128, ,0375    0128,Building,2015/04/24 00:00:00+00,E,65642.5110464,-77.02476948,38.8986992,38.89845075,38.89894876,-77.02540458,-77.0241332,1,87C4VXXG+F3H-10-20-9-20,1,1,One Building One Lot,UBIDPly_1109,,,,,,2,{36949EE6-BC5F-4704-E063-792F520AC09B},424.775208750898,10041.1092052914
486469,PAR,0160, ,0160,0038, ,PAR 01600038,Building,2015/04/24 00:00:00+00,E,1484.60154994,-76.97439324,38.89935004,38.89928284,38.89940771,-76.97446498,-76.9743338,5,87C5V2XG+P6X-2-2-3-2,1,3,One Building Many Lots,UBIDPly_12445,,,,,,5,{36949EE6-BC60-4704-E063-792F520AC09B},60.8651459656305,228.040994809919
486470,5194, , , ,0823, ,5194    0823,Building,2017/03/09 00:00:00+00,E,1008.59021097,-76.92837103,38.89874882,38.89863962,38.89885802,-76.928396,-76.92834606,8,87C5V3XC+FMR-5-0-4-1,1,3,One Building Many Lots,UBIDPly_53463,,,,,,7,{36949EE6-BC61-4704-E063-792F520AC09B},72.2442210125076,154.888521283681
486471,5194, , , ,0823, ,5194    0823,Building,2017/03/09 00:00:00+00,E,1168.57604721,-76.92837103,38.89874882,38.89863962,38.89885802,-76.928396,-76.92834606,8,87C5V3XC+FMR-5-0-4-1,1,3,One Building Many Lots,UBIDPly_53465,,,,,,7,{36949EE6-BC62-4704-E063-792F520AC09B},73.8257010024155,179.511297976778
486472,5194, , , ,0823, ,5194    0823,Building,2017/03/09 00:00:00+00,E,866.79886444,-76.92837103,38.89874882,38.89863962,38.89885802,-76.928396,-76.92834606,8,87C5V3XC+FMR-5-0-4-1,1,3,One Building Many Lots,UBIDPly_53468,,,,,,7,{36949EE6-BC63-4704-E063-792F520AC09B},68.969337575034,122.297250869513
486473,5194, , , ,0823, ,5194    0823,Building,2017/03/09 00:00:00+00,E,1088.52951203,-76.92837103,38.89874882,38.89863962,38.89885802,-76.928396,-76.92834606,8,87C5V3XC+FMR-5-0-4-1,1,3,One Building Many Lots,UBIDPly_53467,,,,,,7,{36949EE6-BC64-4704-E063-792F520AC09B},73.0351211824046,167.196553842604
486474,5052, , , ,0014, ,5052    0014,Building,2015/04/24 00:00:00+00,E,121.37830269,-76.94783876,38.89698488,38.89645452,38.89748987,-76.94843209,-76.94726586,8,87C5V3W2+QVV-20-18-21-19,1,3,One Building Many Lots,UBIDPly_52066,,,,,,7,{36949EE6-BC65-4704-E063-792F520AC09B},17.8025433512593,18.6452646603087
486475,0455, , , ,0842, ,0455    0842,Building,2015/04/24 00:00:00+00,E,2573.61695943,-77.02095664,38.89880876,38.898789,38.89882875,-77.02110096,-77.02081265,2,87C4VXXH+GJF-1-4-1-5,2,4,Many Buildings Many Lots,UBIDPly_3122,,,,,,2,{36949EE6-BC66-4704-E063-792F520AC09B},75.3983979309982,179.458740458977
486476,PAR,0160, ,0160,0036, ,PAR 01600036,Building,2015/04/24 00:00:00+00,E,2071.37968969,-76.97212387,38.89895061,38.89881071,38.89909023,-76.97218823,-76.97204184,12,87C5V2XH+H5J-5-2-6-3,1,3,One Building Many Lots,UBIDPly_12476,,,,,,5,{36949EE6-BC67-4704-E063-792F520AC09B},80.8684357304436,318.178505279602
486477,PAR,0160, ,0160,0036, ,PAR 01600036,Building,2015/04/24 00:00:00+00,E,1746.04986343,-76.97212387,38.89895061,38.89881071,38.89909023,-76.97218823,-76.97204184,12,87C5V2XH+H5J-5-2-6-3,1,3,One Building Many Lots,UBIDPly_12471,,,,,,5,{36949EE6-BC68-4704-E063-792F520AC09B},71.728558106128,268.209511118523
486478,0374, , , ,7051, ,0374    7051,Building,2015/04/24 00:00:00+00,E,23840.8551037,-77.02438418,38.90010688,38.90004235,38.90024027,-77.02459458,-77.0241092,4,87C4WX2G+26X-5-9-3-7,2,4,Many Buildings Many Lots,UBIDPly_3320,,,,,,2,{36949EE6-BC69-4704-E063-792F520AC09B},126.985712729076,662.943921345153
486479,PAR,0160, ,0160,0042, ,PAR 01600042,Building,2015/04/24 00:00:00+00,E,201.71174943,-76.96950636,38.90014844,38.90013101,38.90016587,-76.96953171,-76.969481,3,87C5W22J+355-1-1-0-1,1,3,One Building Many Lots,UBIDPly_12417,,,,,,5,{36949EE6-BC6A-4704-E063-792F520AC09B},24.7382709586876,30.9926221312089
486480,0859, , , ,0839, ,0859    0839,Building,2015/04/24 00:00:00+00,E,17937.7506692,-76.99658839,38.89992208,38.89975846,38.90008572,-76.99684998,-76.99632604,1,87C5V2X3+X97-7-8-6-9,1,1,One Building One Lot,UBIDPly_43221,,,,,,6,{36949EE6-BC6B-4704-E063-792F520AC09B},210.132245609766,2721.58445811943
486481,0859, , , ,0837, ,0859    0837,Building,2015/04/24 00:00:00+00,E,15921.7480024,-76.99792593,38.89995328,38.89974504,38.90008453,-76.99829248,-76.99764893,1,87C5V2X2+XRP-5-9-9-12,1,1,One Building One Lot,UBIDPly_12397,,,,,,6,{36949EE6-BC6C-4704-E063-792F520AC09B},250.557988346704,2438.51255206526
486482,0517, , , ,0049, ,0517    0049,Building,2015/04/24 00:00:00+00,E,20215.2902456,-77.01797957,38.90003394,38.89993705,38.9001477,-77.01846644,-77.01749353,1,87C4WX2J+2R6-4-16-4-15,1,1,One Building One Lot,UBIDPly_702,,,,,,6,{36949EE6-BC6D-4704-E063-792F520AC09B},309.564645908801,2979.27786104715
486483,0374, , , ,0888, ,0374    0888,Building,2017/03/09 00:00:00+00,E,37192.990515,-77.0256624,38.90013259,38.90004319,38.90023448,-77.02583068,-77.02547649,1,87C4WX2F+3P4-4-6-4-5,6,2,Many Buildings One Lot,UBIDPly_3462,,,,,,2,{36949EE6-BC6E-4704-E063-792F520AC09B},146.038105340025,768.606016217749
486484,0374, , , ,7030, ,0374    7030,Building,2017/03/09 00:00:00+00,E,37192.990515,-77.02543269,38.9001292,38.89994528,38.9003185,-77.02583074,-77.0250762,2,87C4WX2F+3R4-7-11-8-13,6,4,Many Buildings Many Lots,UBIDPly_3460,,,,,,2,{36949EE6-BC6F-4704-E063-792F520AC09B},146.038105340025,768.606016217749
486485,0374, , , ,7033, ,0374    7033,Building,2017/03/09 00:00:00+00,E,37192.990515,-77.0255786,38.90035097,38.9003184,38.90038356,-77.02560821,-77.02554897,5,87C4WX2F+4QV-1-1-2-1,6,4,Many Buildings Many Lots,UBIDPly_3459,,,,,,2,{36949EE6-BC70-4704-E063-792F520AC09B},146.038105340025,768.606016217749
